"State","E.V.","poll_state","chance","probability_win","party","prob_dem_win","prob_rep_win","date"
"D.C.
							D.C.",3,"NYT",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"California
							Calif.",55,"NYT",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Massachusetts
							Mass.",11,"NYT",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Hawaii
							Hawaii",4,"NYT",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"New York
							N.Y.",29,"NYT",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Vermont
							Vt.",3,"NYT",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Illinois
							Ill.",20,"NYT",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Rhode Island
							R.I.",4,"NYT",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Maryland
							Md.",10,"NYT","99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Delaware
							Del.",3,"NYT","99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Maine (CD 1)*
							Me.-1*",1,"NYT","99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Connecticut
							Conn.",7,"NYT","99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"New Jersey
							N.J.",14,"NYT","99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Washington
							Wash.",12,"NYT","99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Oregon
							Ore.",7,"NYT","97%
								
									 Dem.",0.97,"Dem",0.97,0.03,2016-11-05
"Virginia
							Va.",13,"NYT","96%
								
									 Dem.",0.96,"Dem",0.96,0.04,2016-11-05
"New Mexico
							N.M.",5,"NYT","95%
								
									 Dem.",0.95,"Dem",0.95,0.05,2016-11-05
"Wisconsin
							Wis.",10,"NYT","92%
								
									 Dem.",0.92,"Dem",0.92,0.08,2016-11-05
"Michigan
							Mich.",16,"NYT","92%
								
									 Dem.",0.92,"Dem",0.92,0.08,2016-11-05
"Minnesota
							Minn.",10,"NYT","90%
								
									 Dem.",0.9,"Dem",0.9,0.1,2016-11-05
"Pennsylvania
							Pa.",20,"NYT","90%
								
									 Dem.",0.9,"Dem",0.9,0.1,2016-11-05
"Maine
							Me.",2,"NYT","88%
								
									 Dem.",0.88,"Dem",0.88,0.12,2016-11-05
"Colorado
							Colo.",9,"NYT","86%
								
									 Dem.",0.86,"Dem",0.86,0.14,2016-11-05
"New Hampshire
							N.H.",4,"NYT","85%
								
									 Dem.",0.85,"Dem",0.85,0.15,2016-11-05
"North Carolina
							N.C.",15,"NYT","70%
								
									 Dem.",0.7,"Dem",0.7,0.3,2016-11-05
