"party_code","straight_average","electoral_votes","cumulative_ev","date"
"Democrat",0.99,112,112,2016-11-06
"Democrat",0.988,23,135,2016-11-06
"Democrat",0.987,26,161,2016-11-06
"Democrat",0.983,7,168,2016-11-06
"Democrat",0.978,4,172,2016-11-06
"Democrat",0.975,10,182,2016-11-06
"Democrat",0.968,1,183,2016-11-06
"Democrat",0.947,13,196,2016-11-06
"Democrat",0.945,5,201,2016-11-06
"Democrat",0.938,20,221,2016-11-06
"Democrat",0.935,2,223,2016-11-06
"Democrat",0.928,16,239,2016-11-06
"Democrat",0.91,20,259,2016-11-06
"Democrat",0.9,9,268,2016-11-06
"Democrat",0.788,4,272,2016-11-06
"Democrat",0.727,29,301,2016-11-06
"Democrat",0.7,6,307,2016-11-06
"Democrat",0.67,15,322,2016-11-06
"Democrat",0.476,1,323,2016-11-06
"Democrat",0.327,18,341,2016-11-06
"Democrat",0.282,1,342,2016-11-06
"Democrat",0.228,6,348,2016-11-06
"Democrat",0.17,11,359,2016-11-06
"Democrat",0.137,16,375,2016-11-06
"Democrat",0.098,6,381,2016-11-06
"Democrat",0.063,3,384,2016-11-06
"Democrat",0.057,15,399,2016-11-06
"Democrat",0.025,3,402,2016-11-06
"Democrat",0.024,1,403,2016-11-06
"Democrat",0.023,38,441,2016-11-06
"Democrat",0.017,3,444,2016-11-06
"Democrat",0.015,21,465,2016-11-06
"Democrat",0.012,22,487,2016-11-06
"Democrat",0.01,51,538,2016-11-06
"Republican",0.99,51,51,2016-11-06
"Republican",0.988,22,73,2016-11-06
"Republican",0.985,21,94,2016-11-06
"Republican",0.983,3,97,2016-11-06
"Republican",0.977,38,135,2016-11-06
"Republican",0.976,1,136,2016-11-06
"Republican",0.975,3,139,2016-11-06
"Republican",0.943,15,154,2016-11-06
"Republican",0.937,3,157,2016-11-06
"Republican",0.902,6,163,2016-11-06
"Republican",0.863,16,179,2016-11-06
"Republican",0.83,11,190,2016-11-06
"Republican",0.772,6,196,2016-11-06
"Republican",0.718,1,197,2016-11-06
"Republican",0.673,18,215,2016-11-06
"Republican",0.524,1,216,2016-11-06
"Republican",0.33,15,231,2016-11-06
"Republican",0.3,6,237,2016-11-06
"Republican",0.273,29,266,2016-11-06
"Republican",0.212,4,270,2016-11-06
"Republican",0.1,9,279,2016-11-06
"Republican",0.09,20,299,2016-11-06
"Republican",0.072,16,315,2016-11-06
"Republican",0.065,2,317,2016-11-06
"Republican",0.062,20,337,2016-11-06
"Republican",0.055,5,342,2016-11-06
"Republican",0.053,13,355,2016-11-06
"Republican",0.032,1,356,2016-11-06
"Republican",0.025,10,366,2016-11-06
"Republican",0.022,4,370,2016-11-06
"Republican",0.017,7,377,2016-11-06
"Republican",0.013,26,403,2016-11-06
"Republican",0.012,23,426,2016-11-06
"Republican",0.01,112,538,2016-11-06
